author,count,all_works_forbidden,multiple_works_forbidden,Afghanistan,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Bhutan,Bosnia and Herzegovina,British Indian Ocean Territory,Brunei,Canada,Central African Republic,Chile,China,Colombia,Croatia,Cuba,Czechia,Denmark,Djibouti,Egypt,Eritrea,Estonia,Ethiopia,France,Georgia,Germany,Greece,Hungary,India,Iran,Iraq,Ireland,Italy,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Malaysia,Maldives,Mali,Mauritania,Moldova,Montenegro,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Syria,Tajikistan,Tanzania,Thailand,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Vatican,Vietnam,Yemen,(blank)
DUMAS Alexandre,42,FALSE,FALSE,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
SCOTT Walter,41,FALSE,FALSE,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSDAP Reichsjugendführung,41,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARX Karl,40,TRUE,TRUE,,,5,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,4,,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,9,,,,,,,,,,,,,,,,,,6,,,,,,,,,,1
MARTIN VIGIL José Luis,40,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRUG Wilhelm Traugott,40,FALSE,FALSE,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
READER'S DIGEST,38,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,
CELA Camilo José,38,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMONDE DE SISMONDI Jean-Charles-Léonard,37,FALSE,FALSE,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
SLAUGHTER Frank G.,37,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
